"sub_category","order_id","product_name","shipping_cost","profit"
"Chairs","IN-2013-77878","Novimex Executive Leather Armchair, Black","923.63","-288.77"
"Phones","ES-2013-1579342","Motorola Smart Phone, Cordless","910.16","-96.54"
"Tables","CA-2012-116638","Chromcraft Bull-Nose Wood Oval Conference Tables & Bases","865.74","-1862.31"
"Phones","US-2011-128776","Samsung Smart Phone, VoIP","704.06","-148.46"
"Chairs","CA-2012-139731","HON 5400 Series Task Chairs for Big and Tall","690.42","-350.49"
"Machines","US-2014-168116","Cubify CubeX 3D Printer Triple Head Print","674.82","-3839.99"
"Phones","ID-2013-63976","Motorola Smart Phone, Full Size","660.87","-77.20"
"Tables","IN-2014-30110","Bevis Conference Table, with Bottom Storage","586.57","-452.81"
"Chairs","CA-2014-118892","HON 5400 Series Task Chairs for Big and Tall","566.65","-630.88"
"Appliances","ID-2012-78207","Hamilton Beach Refrigerator, Black","562.14","-269.79"
"Machines","IT-2012-1779015","Panasonic Printer, Red","540.77","-0.05"
"Chairs","IT-2013-5208514","Office Star Executive Leather Armchair, Black","520.89","-2211.17"
"Phones","ES-2012-2314672","Apple Smart Phone, with Caller ID","516.63","-1783.08"
